"brands_id","model","models_id"
6,Lacetti NF486,1910
6,AVEO,1320
6,CAPTIVA,85
6,NIVA,11
6,Lacetti,100
6,ORLANDO,2080
6,Cruze,1284
6,Malibu,560
6,AVEO 1.6,2556
6,LACETTI NF19B,2141
6,Tracker,2791
6,SPARK,2086
6,Epica LF69K,1638
6,Cruze 1.8,2186
6,AVEO SF69Y,1186
6,AVEO SA69Y,1736
6,Lacetti NF35B,1740
6,AVEO SF 48Y4,1243
6,Lacetti NF196,2109
6,Lacetti 1.8,2855
6,EPICA,1879
6,Lacetti 1,6,1788
6,Camaro,2223
7,Duster,1665
7,Logan,1076
7,Sandero,1495
7,Trafic,1190
7,Megane,72
7,Fluence,1555
7,LODGY,2904
7,Logan MCV,1551
7,Dokker,2995
7,Kangoo,17
8,Corsa,13
8,Zafira,40
8,Insignia,1142
8,ASTRA,1225
8,Astra H,38
8,Vivaro,76
8,Astra Classic,12
8,Antara,198
8,Astra J,2113
8,ASTRA 1.6,2123
8,Vectra,37
8,ASTRA 1.6 I,2564
8,Mokka,2632
9,Pathfinder,81
9,Tiida,177
9,Juke,2032
9,Micra,21
9,Qashqai,78
9,X-Trail,80
9,Almera Classic,188
9,Almera,23
9,Note,27
9,Teana,77
9,NP 300,1699
9,Murano,79
9,PICK-UP,3150
9,Patrol,82
11,RAV-4,67
11,Corolla,852
11,Yaris,32
11,Camry,66
11,Land Cruiser 200,2767
11,VERSO,2654
11,Avensis,65
11,Venza,1678
11,Land cruiser,70
11,HighLander,859
11,Auris,99
11,Land Cruiser 150,2885
11,Land Cruiser Prado,69
11,LC Prado,2496
11,PRADO,1509
11,Hilux Pick Up,2981
11,Hilux,860
11,LC200,2497
11,Corolla Terra,34
11,LAND CRUISER 150 PRADO,3080
11,Sienna,871
11,Avensis 2.0,2807
28,Sportage,751
28,Mohave,1182
28,Soul,1034
28,Rio,749
28,Cerato,194
28,Venga,1657
28,CERATO KOUP,1343
28,Sorento,750
28,Picanto,747
28,Ceed,190
28,Optima,2171
28,CEE`D,2237
28,Soul 1.6,2344
28,Cerato 1.6,2190
28,Sorento New,1248
28,Carnival,744
28,Carens,743
28,RIO 1,4,2133
